"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"25.11.2024","3,369","3,356","3,461","3,264","108,49K","7,67%"
"26.11.2024","3,431","3,330","3,500","3,255","3,24K","1,84%"
"27.11.2024","3,204","3,468","3,470","3,189","214,29K","-6,62%"
"29.11.2024","3,363","3,195","3,384","3,175","163,06K","4,96%"
"02.12.2024","3,213","3,220","3,279","3,148","208,65K","-4,46%"
"03.12.2024","3,042","3,207","3,217","3,030","184,35K","-5,32%"
"04.12.2024","3,043","3,048","3,088","2,977","171,70K","0,03%"
"05.12.2024","3,079","3,071","3,155","3,035","183,89K","1,18%"
"06.12.2024","3,076","3,087","3,108","3,004","188,69K","-0,10%"
"09.12.2024","3,182","3,260","3,324","3,137","258,43K","3,45%"
"10.12.2024","3,163","3,189","3,193","3,069","233,88K","-0,60%"
"11.12.2024","3,378","3,193","3,404","3,181","276,53K","6,80%"
"12.12.2024","3,455","3,364","3,559","3,282","328,09K","2,28%"
"13.12.2024","3,280","3,458","3,489","3,264","213,64K","-5,07%"
"16.12.2024","2,702","2,710","2,727","2,672","89,64K","-17,62%"
"17.12.2024","3,080","3,030","3,147","2,919","122,87K","13,99%"
"18.12.2024","3,115","3,123","3,175","3,084","111,29K","1,14%"
"19.12.2024","3,296","3,135","3,338","3,126","132,38K","5,81%"
"20.12.2024","3,412","3,327","3,457","3,264","165,73K","3,52%"
"23.12.2024","3,656","3,869","3,944","3,581","125,62K","7,15%"
"24.12.2024","3,946","3,695","3,958","3,666","66,85K","7,93%"
"26.12.2024","3,715","3,970","4,010","3,652","67,21K","-5,85%"
"27.12.2024","3,514","3,707","3,887","3,370","2,52K","-5,41%"
"30.12.2024","3,936","3,657","4,201","3,648","374,32K","12,01%"
"31.12.2024","3,633","3,915","4,012","3,577","184,55K","-7,70%"
"02.01.2025","3,660","3,656","3,801","3,541","156,67K","0,74%"
"03.01.2025","3,354","3,669","3,680","3,330","188,09K","-8,36%"
"06.01.2025","3,672","3,554","3,726","3,502","228,12K","9,48%"
"07.01.2025","3,449","3,705","3,738","3,427","182,15K","-6,07%"
"08.01.2025","3,651","3,448","3,694","3,427","189,26K","5,86%"
"09.01.2025","3,701","3,682","3,830","3,552","145,20K","1,37%"
"10.01.2025","3,989","3,709","4,018","3,685","229,11K","7,78%"
"13.01.2025","3,934","4,347","4,369","3,845","195,51K","-1,38%"
"14.01.2025","3,968","3,930","4,059","3,736","167,42K","0,86%"
"15.01.2025","4,083","3,955","4,141","3,859","169,34K","2,90%"
"16.01.2025","4,258","4,130","4,328","4,018","193,02K","4,29%"
"17.01.2025","3,948","4,280","4,308","3,910","204,28K","-7,28%"
"21.01.2025","3,343","3,392","3,466","3,334","161,48K","-15,32%"
"22.01.2025","3,506","3,371","3,532","3,321","138,13K","4,88%"
"23.01.2025","3,945","4,001","4,048","3,861","120,84K","12,52%"
"24.01.2025","4,027","3,933","4,050","3,808","87,57K","2,08%"
"27.01.2025","3,697","3,785","3,827","3,609","66,94K","-8,19%"
"28.01.2025","3,471","3,699","3,720","3,361","63,82K","-6,11%"
"29.01.2025","3,535","3,335","3,588","3,313","3,30K","1,84%"
"30.01.2025","3,047","3,175","3,240","3,035","201,74K","-13,80%"
"31.01.2025","3,044","3,081","3,118","2,990","138,21K","-0,10%"
"03.02.2025","3,352","3,230","3,407","3,230","273,51K","10,12%"
"04.02.2025","3,253","3,327","3,350","3,168","182,53K","-2,95%"
"05.02.2025","3,360","3,229","3,375","3,161","170,26K","3,29%"
"06.02.2025","3,408","3,355","3,434","3,303","177,67K","1,43%"
"07.02.2025","3,309","3,380","3,435","3,296","188,70K","-2,90%"
"10.02.2025","3,444","3,406","3,487","3,352","203,92K","4,08%"
"11.02.2025","3,519","3,442","3,576","3,431","219,16K","2,18%"
"12.02.2025","3,565","3,510","3,583","3,469","194,73K","1,31%"
"13.02.2025","3,628","3,591","3,786","3,583","305,90K","1,77%"
"14.02.2025","3,725","3,650","3,801","3,635","201,10K","2,67%"
"18.02.2025","3,977","3,610","3,981","3,557","203,90K","6,77%"
"19.02.2025","4,205","3,974","4,289","3,911","247,32K","5,73%"
"20.02.2025","4,152","4,381","4,476","4,034","211,82K","-1,26%"
"21.02.2025","4,234","4,174","4,444","4,148","164,32K","1,97%"
"24.02.2025","3,994","4,065","4,090","3,906","82,87K","-5,67%"
"25.02.2025","4,174","3,987","4,186","3,935","91,53K","4,51%"
"26.02.2025","3,906","4,130","4,212","3,860","2,24K","-6,42%"
"27.02.2025","3,934","3,966","4,065","3,878","171,40K","0,72%"
"28.02.2025","3,834","3,939","3,954","3,814","141,99K","-2,54%"
"03.03.2025","4,122","3,779","4,173","3,742","269,84K","7,51%"
"04.03.2025","4,350","4,168","4,551","4,056","350,51K","5,53%"
"05.03.2025","4,450","4,317","4,518","4,227","224,57K","2,30%"
"06.03.2025","4,302","4,466","4,471","4,254","202,48K","-3,33%"
"07.03.2025","4,399","4,286","4,426","4,132","211,90K","2,25%"
"10.03.2025","4,491","4,467","4,901","4,447","221,48K","2,09%"
"11.03.2025","4,453","4,461","4,588","4,334","192,16K","-0,85%"
"12.03.2025","4,084","4,346","4,379","4,029","224,05K","-8,29%"
"13.03.2025","4,111","4,032","4,195","3,955","227,07K","0,66%"
"14.03.2025","4,104","4,040","4,141","3,962","144,41K","-0,17%"
"17.03.2025","4,086","4,187","4,278","4,046","88,75K","-0,44%"
"18.03.2025","4,109","4,073","4,185","4,041","95,98K","0,56%"
"19.03.2025","4,313","4,110","4,322","4,102","113,39K","4,96%"
"20.03.2025","4,038","4,280","4,312","4,027","141,55K","-6,38%"
"21.03.2025","4,024","4,035","4,089","3,931","118,07K","-0,35%"
"24.03.2025","3,914","3,880","4,012","3,862","78,99K","-2,73%"
"25.03.2025","3,840","3,909","3,990","3,796","50,29K","-1,89%"
"26.03.2025","3,861","3,866","3,930","3,813","52,75K","0,55%"
"27.03.2025","3,950","3,859","4,016","3,689","5,09K","2,31%"
"28.03.2025","4,065","3,915","4,100","3,836","176,36K","2,91%"
"31.03.2025","4,119","4,176","4,253","4,055","171,86K","1,33%"
"01.04.2025","3,951","4,132","4,148","3,934","156,69K","-4,08%"
"02.04.2025","4,055","3,950","4,089","3,935","141,24K","2,63%"
"03.04.2025","4,138","4,011","4,203","3,968","165,41K","2,05%"
